speaker_id,gdrive_folder_id
73KFYF,1XERYcW6zK6DLJmID7beZV6TPkQWjovrO
8XZ3YT,1qi8f40phU7l1CTING8K_OF1zMR2hRrN-
9QUEBX,15wGvGSHoKeENPqYe54evSfdvX5bvfbQU
AFL8EN,1rnvWete622i2Z70N7UBwjOdU7b2IUP26
B99KFA,1NQo8LhLbNeQjcUaWl0-KMjb4yODFSwq6
CKMGR8,1ELnyUfd76Y0GDVsagn7CcnF_LIfJebMF
CMEKUM,1a6h3sGD81xu5-wVdBYieHC2d0jDcgySF
D9Q7MX,1f79Nj9lCE9Q-IzLXj4FwE1mTUPOjfKig
DNUJPT,1qqbUrBJLanpLiU9spYwb5agnodWWksI2
EBDJB3,19aTf1GY1ReingU2SoxUeErhOeOkjjzL6
FQQ3GW,1_nPDqp6dGpb1BLSPakHrLdyQtlbpwyHf
GC79FG,1bJS67I5aOrgwtCxTECMLMI6Uqtc859R-
GNTSS9,1tywnbjp5hz_jpBFPOl314v5hqfsc7iu4
LLJSBE,1G2JwpVE4HRuXaWPkYBsbAyrqpcD0bWjB
LXQGX3,1VS_oAIGsnirpiThtBbL2bjVefSdsr8v5
MGQYYH,1B3k1Osw9JIOCw5B78Z389222Q-DoxUMD
MTABDN,1nH0RwRvg-bl0X69nms_h7CvUlBOC-LN9
MUNTGK,1NGDLIcJoOu8Z-In6gTz6-tsSNdWiFCMw
NAPY78,1U0CrBqMLUKiM0p4-Dp3IFWitoY2IFqHz
PS8VU3,1iSYJyZ-uOq6bO1dqHXwiLOwwUeZtYvC_
QJDMTU,1fCkrCfHSdJ1HVL9bMCwJBWTGrZhZjqeu
QTU78R,1jEJhehMEtWua_WUWmPuS1u5_3TO7EkzZ
SXKXL8,14Snz5eNY3rrUCMif0zioJ0fmBXo6zGZe
TWRLXF,1KocFeZmbIKvnPOgXgU-7amptjML-jvW6
UXKMT7,1TtJdj9ZPqf4aDa7rJIIjR1PhiQs1wxn1
V9AARY,17oPRhbp-2eM7A_lw5RfMGFLTTh5mDCYS
VDEMWU,12URasc3uUCFQwRHZzipvQQPw7GTfTMUt
VEF99P,1o7Pu3yAu-C5ViMoFwJVb8ip4di5CyieW
WKR8CN,1iYS0sHPpp9qmC6h5IZvXDoho2oXRQCHh
XXBKRT,1pBs_GTljiyrVtWPsM1MeXaFKGWUQ_yyf
YLSDKF,1p6McmCnCbZa66KEfo3K0206VUTaKS6jV
YXWQ8Z,10ca_qY0UNZnimdUjHAWPL-Hj1RkJYaMx
Z8HPFY,1PpSmBelVUDY26C2qvZ2ma36WJOvPtvrV
ZBLAMY,1C66XC_cGoZxIXLqviytXISjlvOwU6OWp
ZLFHTQ,1FHBpWlcXRClkEioCVzKpqCRATtA1txJ5
RUSRZF,1izzPEIEwv3EXKx9wxra8ruFxHKDABrdi
